备注,priority_tier,priority_score,priority_reason,user_id,user_name,creator_profile_url,country,current_author_grade,follower_count,total_likes,published_posts_total,valid_posts_week,active_publish_days_week,last_publish_time,c3_c4_count_week,c0_c1_count_week,total_feed_impression_week,pooled_wer_week,historical_c3_c4_count,historical_c0_c1_count,historical_best_post_like_count,best_post_id,best_post_title,best_post_content_level,best_post_feed_impression_7d,best_post_wer_7d,best_post_like_count_7d,父记录,record_index,original_current_author_grade,reviewed_current_author_grade,grade_source,published_posts_count_observed,top_post_ids_by_impression,reviewed_at,review_note
有角色演员，头图质量一般,P0,2610,P0: historical C3/C4>=2 with weekly valid post and no weekly C0/C1,USERc67a4251-6c3d-45be-bb87-3b1a6d824d3d,Gustavo Gonzalez,https://admin.nauknauk.ai/admin/user/USERc67a4251-6c3d-45be-bb87-3b1a6d824d3d,USA,B,488,3914,130,1,1,2026-07-01 13:25:27.816107,0,0,138,0.420289855072464,72,0,389,POSTc5071de7-75ed-478a-93c3-57501c6fa307,They got this.,C2,138,0.420289855072464,13,,,,,,,,,
粗糙的plushie,P0,1670,P0: weekly C3/C4 content,USERa57b7ff2-281d-4ff2-bb8c-c98b56e3c6b2,Monty the Monkey,https://admin.nauknauk.ai/admin/user/USERa57b7ff2-281d-4ff2-bb8c-c98b56e3c6b2,AUS,C,74,985,182,26,5,2026-07-05 10:45:52.502484,7,0,319,0.137931034482759,13,0,81,POST701aa761-e7fd-4025-9ce2-c12b4f3b4512,Nobody Sees,C2,12,0.666666666666667,2,,,,,,,,,
有故事感和画面效果，同一垂类的持续创作,P0,1320,P0: historical C3/C4>=2 with weekly valid post and no weekly C0/C1,USERf7bba0ca-bcc0-48cf-ac9d-61bfb793501b,Las cosas del bicho,https://admin.nauknauk.ai/admin/user/USERf7bba0ca-bcc0-48cf-ac9d-61bfb793501b,ESP,A,286,3157,296,5,4,2026-07-05 21:32:30.572008,0,0,84,0.0833333333333333,35,2,63,POST70c0dd0c-b842-41ed-8821-d7dec0443711,Story Landing on Tatooine,unknown,34,0.117647058823529,1,,,,,,,,,
简单minecraft， 非figure,P0,1275,P0: weekly C3/C4 content,USER5ee4da09-aca8-4e53-b557-cf7afa7cb53c,verity,https://admin.nauknauk.ai/admin/user/USER5ee4da09-aca8-4e53-b557-cf7afa7cb53c,USA,C,414,2459,218,46,7,2026-07-05 18:32:00.837524,3,0,39430,0.270631498858737,6,1,63,POST3c214124-87bb-4c21-8b33-4785ebf50bd1,fnf mod,C2,941,0.41817215727949,22,,,,,,,,,
ai风险，可能会从良,P0,1165,P0: weekly C3/C4 content,USER6828af0a-095a-48bc-98bc-ed1d202fa618,WELCOME TO THE DOLLHOUSE,https://admin.nauknauk.ai/admin/user/USER6828af0a-095a-48bc-98bc-ed1d202fa618,USA,C,153,2037,287,59,7,2026-07-05 15:47:25.031125,1,0,4048,0.250864624505929,6,1,48,POST022f47ee-8a5a-4d1e-95b9-3b39a0e3c333,Jay and Silent Bob In Poltergeist,C2,239,0.451882845188285,26,,,,,,,,,
卡牌figure混杂,P0,1110,P0: historical C3/C4>=2 with weekly valid post and no weekly C0/C1,USER5149768a-ef0d-40dd-86ee-624714f1545b,DMBDAVE,https://admin.nauknauk.ai/admin/user/USER5149768a-ef0d-40dd-86ee-624714f1545b,GBR,C,179,1434,165,2,1,2026-07-05 01:10:25.635042,0,0,49,0,33,4,20,POST5a74d514-666c-43d3-a2e9-45b236749d8d,RumbleSlam Frank walk out 2,C2,36,0,0,,,,,,,,,
lego垂类质量还可以，有故事,P0,1095,P0: historical C3/C4>=2 with weekly valid post and no weekly C0/C1,USERf9624328-4ada-411e-b0a2-eb357136d1e4,Tris,https://admin.nauknauk.ai/admin/user/USERf9624328-4ada-411e-b0a2-eb357136d1e4,NLD,B,202,1190,125,11,2,2026-07-03 19:22:26.432202,0,0,465,0.193548387096774,28,2,32,POST996856fc-b1db-48e5-b4ba-277dbb143d44,Lost Asset in the Storm,C2,66,0.242424242424242,3,,,,,,,,,
同一类型，审美一般,P0,1005,P0: historical C3/C4>=2 with weekly valid post and no weekly C0/C1,USER25d05a6e-59ae-484d-96bb-cfd343c9e167,Juls Castle,https://admin.nauknauk.ai/admin/user/USER25d05a6e-59ae-484d-96bb-cfd343c9e167,MEX,C,306,3173,280,2,2,2026-07-02 06:31:39.528417,0,0,259,0.33976833976834,28,2,55,POST3e3f811c-c599-4ea7-b796-3d4dd037ad97,Heroic battle moves,C2,60,0.383333333333333,6,,,,,,,,,
有造景意识,P0,975,P0: weekly C3/C4 content,USER7d5c4089-9aa6-499c-8150-9964bf88495e,Laurent Dietlin,https://admin.nauknauk.ai/admin/user/USER7d5c4089-9aa6-499c-8150-9964bf88495e,FRA,B,77,624,56,4,2,2026-06-30 09:37:21.803597,2,0,17,0,19,1,59,POST8f066046-caf0-4d41-a8f1-01e166b49db7,Le petit oiseau s'envole,C2,9,0,0,,,,,,,,,
微崩,P0,900,P0: historical C3/C4>=2 with weekly valid post and no weekly C0/C1,USER28081fd9-05c5-4b7b-9ead-d9126110c0fe,Rays_blocks,https://admin.nauknauk.ai/admin/user/USER28081fd9-05c5-4b7b-9ead-d9126110c0fe,GBR,C,320,2611,264,9,2,2026-07-05 22:43:04.610021,0,0,74,0.189189189189189,23,2,53,POST6305f356-072d-4aec-9aa7-4e99430b22e1,Reaper Chainsword,unknown,8,0.375,1,,,,,,,,,
